Country_Name,Country_Code,Year,Population
Australia,AUS,2000,19028802
Australia,AUS,2001,19274701
Australia,AUS,2002,19495210
Australia,AUS,2003,19720737
Australia,AUS,2004,19932722
Australia,AUS,2005,20176844
Australia,AUS,2006,20450966
Australia,AUS,2007,20827622
Australia,AUS,2008,21249199
Australia,AUS,2009,21691653
Australia,AUS,2010,22031750
Australia,AUS,2011,22340024
Australia,AUS,2012,22733465
Australia,AUS,2013,23128129
Australia,AUS,2014,23475686
Australia,AUS,2015,23815995
Australia,AUS,2016,24190907
Australia,AUS,2017,24594202
Australia,AUS,2018,24966643
Australia,AUS,2019,25340217
Australia,AUS,2020,25655289
Australia,AUS,2021,25688079
Austria,AUT,2000,8011566
Austria,AUT,2001,8042293
Austria,AUT,2002,8081957
Austria,AUT,2003,8121423
Austria,AUT,2004,8171966
Austria,AUT,2005,8227829
Austria,AUT,2006,8268641
Austria,AUT,2007,8295487
Austria,AUT,2008,8321496
Austria,AUT,2009,8343323
Austria,AUT,2010,8363404
Austria,AUT,2011,8391643
Austria,AUT,2012,8429991
Austria,AUT,2013,8479823
Austria,AUT,2014,8546356
Austria,AUT,2015,8642699
Austria,AUT,2016,8736668
Austria,AUT,2017,8797566
Austria,AUT,2018,8840521
Austria,AUT,2019,8879920
Austria,AUT,2020,8916864
Austria,AUT,2021,8955797
Belgium,BEL,2000,10251250
Belgium,BEL,2001,10286570
Belgium,BEL,2002,10332785
Belgium,BEL,2003,10376133
Belgium,BEL,2004,10421137
Belgium,BEL,2005,10478617
Belgium,BEL,2006,10547958
Belgium,BEL,2007,10625700
Belgium,BEL,2008,10709973
Belgium,BEL,2009,10796493
Belgium,BEL,2010,10895586
Belgium,BEL,2011,11038264
Belgium,BEL,2012,11106932
Belgium,BEL,2013,11159407
Belgium,BEL,2014,11209057
Belgium,BEL,2015,11274196
Belgium,BEL,2016,11331422
Belgium,BEL,2017,11375158
Belgium,BEL,2018,11427054
Belgium,BEL,2019,11488980
Belgium,BEL,2020,11538604
Belgium,BEL,2021,11592952
Bulgaria,BGR,2000,8170172
Bulgaria,BGR,2001,8009142
Bulgaria,BGR,2002,7837161
Bulgaria,BGR,2003,7775327
Bulgaria,BGR,2004,7716860
Bulgaria,BGR,2005,7658972
Bulgaria,BGR,2006,7601022
Bulgaria,BGR,2007,7545338
Bulgaria,BGR,2008,7492561
Bulgaria,BGR,2009,7444443
Bulgaria,BGR,2010,7395599
Bulgaria,BGR,2011,7348328
Bulgaria,BGR,2012,7305888
Bulgaria,BGR,2013,7265115
Bulgaria,BGR,2014,7223938
Bulgaria,BGR,2015,7177991
Bulgaria,BGR,2016,7127822
Bulgaria,BGR,2017,7075947
Bulgaria,BGR,2018,7025037
Bulgaria,BGR,2019,6975761
Bulgaria,BGR,2020,6934015
Bulgaria,BGR,2021,6877743
Belarus,BLR,2000,9979610
Belarus,BLR,2001,9928549
Belarus,BLR,2002,9865548
Belarus,BLR,2003,9796749
Belarus,BLR,2004,9730146
Belarus,BLR,2005,9663915
Belarus,BLR,2006,9604924
Belarus,BLR,2007,9560953
Belarus,BLR,2008,9527985
Belarus,BLR,2009,9504583
Belarus,BLR,2010,9483836
Belarus,BLR,2011,9461643
Belarus,BLR,2012,9446836
Belarus,BLR,2013,9443211
Belarus,BLR,2014,9448515
Belarus,BLR,2015,9461076
Belarus,BLR,2016,9469379
Belarus,BLR,2017,9458989
Belarus,BLR,2018,9438785
Belarus,BLR,2019,9419758
Belarus,BLR,2020,9379952
Belarus,BLR,2021,9340314
Brazil,BRA,2000,175873720
Brazil,BRA,2001,178211881
Brazil,BRA,2002,180476685
Brazil,BRA,2003,182629278
Brazil,BRA,2004,184722043
Brazil,BRA,2005,186797334
Brazil,BRA,2006,188820682
Brazil,BRA,2007,190779453
Brazil,BRA,2008,192672317
Brazil,BRA,2009,194517549
Brazil,BRA,2010,196353492
Brazil,BRA,2011,198185302
Brazil,BRA,2012,199977707
Brazil,BRA,2013,201721767
Brazil,BRA,2014,203459650
Brazil,BRA,2015,205188205
Brazil,BRA,2016,206859578
Brazil,BRA,2017,208504960
Brazil,BRA,2018,210166592
Brazil,BRA,2019,211782878
Brazil,BRA,2020,213196304
Brazil,BRA,2021,214326223
Canada,CAN,2000,30685730
Canada,CAN,2001,31020902
Canada,CAN,2002,31360079
Canada,CAN,2003,31644028
Canada,CAN,2004,31940655
Canada,CAN,2005,32243753
Canada,CAN,2006,32571174
Canada,CAN,2007,32889025
Canada,CAN,2008,33247118
Canada,CAN,2009,33628895
Canada,CAN,2010,34004889
Canada,CAN,2011,34339328
Canada,CAN,2012,34714222
Canada,CAN,2013,35082954
Canada,CAN,2014,35437435
Canada,CAN,2015,35702908
Canada,CAN,2016,36109487
Canada,CAN,2017,36545236
Canada,CAN,2018,37065084
Canada,CAN,2019,37601230
Canada,CAN,2020,38037204
Canada,CAN,2021,38246108
Switzerland,CHE,2000,7184250
Switzerland,CHE,2001,7229854
Switzerland,CHE,2002,7284753
Switzerland,CHE,2003,7339001
Switzerland,CHE,2004,7389625
Switzerland,CHE,2005,7437115
Switzerland,CHE,2006,7483934
Switzerland,CHE,2007,7551117
Switzerland,CHE,2008,7647675
Switzerland,CHE,2009,7743831
Switzerland,CHE,2010,7824909
Switzerland,CHE,2011,7912398
Switzerland,CHE,2012,7996861
Switzerland,CHE,2013,8089346
Switzerland,CHE,2014,8188649
Switzerland,CHE,2015,8282396
Switzerland,CHE,2016,8373338
Switzerland,CHE,2017,8451840
Switzerland,CHE,2018,8514329
Switzerland,CHE,2019,8575280
Switzerland,CHE,2020,8638167
Switzerland,CHE,2021,8703405
